Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q11,MPSA92/PMBTA92,SOT-23,223.925,-103.7,270.0,top
Q12,MPSA42/PMBTA42,SOT-23,248.7,-106.8,270.0,top
Q13,MPSA92/PMBTA92,SOT-23,258.925,-103.7,270.0,top
Q14,MPSA42/PMBTA42,SOT-23,273.7,-106.8,270.0,top
Q15,MPSA92/PMBTA92,SOT-23,283.925,-103.7,270.0,top
Q16,MPSA42/PMBTA42,SOT-23,179.925,-79.45,270.0,top
Q17,MPSA42/PMBTA42,SOT-23,179.925,-89.45,270.0,top
Q18,MPSA42/PMBTA42,SOT-23,239.925,-79.45,270.0,top
Q19,MPSA42/PMBTA42,SOT-23,239.925,-89.45,270.0,top
Q2,SS8050,SOT-23,260.1325,-167.555,90.0,top
Q3,IRF740,TO-220-3_Horizontal_TabUp,159.425,-194.11,-90.0,top
Q4,MPSA42/PMBTA42,SOT-23,128.7,-106.8,270.0,top
Q5,MPSA92/PMBTA92,SOT-23,138.925,-103.7,270.0,top
Q6,MPSA42/PMBTA42,SOT-23,153.7,-106.8,270.0,top
Q7,MPSA92/PMBTA92,SOT-23,163.925,-103.7,270.0,top
Q8,MPSA42/PMBTA42,SOT-23,188.7,-106.8,270.0,top
Q9,MPSA92/PMBTA92,SOT-23,198.925,-103.7,270.0,top
R1,10K,R_0603_1608Metric,213.595,-145.95,0.0,top
R10,10K,R_0603_1608Metric,262.815,-173.465,-90.0,top
R11,10K,R_0603_1608Metric,262.805,-167.56,-90.0,top
R12,10K,R_0603_1608Metric,268.17,-155.24,90.0,top
R13,10K,R_0603_1608Metric,266.71,-155.24,90.0,top
R14,10K,R_0603_1608Metric,276.93,-155.24,90.0,top
R15,10K,R_0603_1608Metric,269.63,-155.24,90.0,top
R16,10K,R_0603_1608Metric,274.01,-155.23,90.0,top
R17,10K,R_0603_1608Metric,275.47,-155.23,90.0,top
R18,2K,R_0603_1608Metric,248.6957,-201.41,180.0,top
R19,2K,R_0603_1608Metric,247.9207,-205.12,90.0,top
R2,4K7,R_0603_1608Metric,237.525,-145.91,0.0,top
